kigyo_no,name,x,y,w,h
111,アニプレックス,15,0,3,1
121,ビジュアルアーツ,20,0,3,1
131,美少女Mobage!!!,25,0,3,1
141,「かんぱに☆ガールズ」×「ダブあに.jp」,29,4,1,1
142,とらのあな／ツクルノモリ,29,5,1,2
151,ブシロード,21,11,3,1
161,NHK,12,11,2,1
162,日本マイクロソフト,11,11,1,1
211,シャフト,5,3,2,1
212,タルタロス：リバース,7,3,1,1
213,Happy Elements K.K,8,3,1,1
214,グリモア～私立グリモワール魔法学園～,8,4,1,1
215,リングドリーム,7,4,1,1
216,ユーフォーテーブル,5,4,2,1
221,ガストショップ出張所,10,3,1,1
222,カミカゼスタイル,11,3,1,1
223,Cygames,12,3,2,1
224,ぽにきゃん,12,4,2,1
225,株式会社サイバーコネクトツー,11,4,1,1
226,フリーダムウォーズ,10,4,1,1
231,(株)京都アニメーション・Kyoani Shop！,15,3,2,1
232,ボートレース多摩川,17,3,1,1
233,牙狼<GARO>,18,3,1,1
234,日本ファルコム,19,3,1,1
235,アニメイトグループ：フロンティアワークス＆マリン＆ムービック,15,4,5,1
251,PikattoAnime/ピカットアニメ,25,3,1,1
252,アニメユニバーシティコープ,26,3,1,1
253,サーファーズパラダイス／東方波天宮,27,3,1,1
254,GooGooDept.,27,4,1,1
255,彩ing,26,4,1,1
256,HOBBY STOCK,25,4,1,1
311,ディオメディア,5,7,1,1
312,BBSHOP,6,7,1,1
313,もえぶん＆乙女文具（おとぶん）,7,7,1,1
314,スターチャイルドレコード,8,7,1,1
315,earth music&ecology Japan Label,8,8,1,1
316,GRISEDGE,7,8,1,1
317,ノイタミナショップ,5,8,2,1
321,松竹,10,7,1,1
322,東映アニメーション,11,7,1,1
323,au公式　アニメパス,12,7,2,1
324,avex pictures,12,8,2,1
325,日テレ,11,8,1,1
326,dアニメストア,10,8,1,1
331,MIKASA,15,7,1,1
332,印刷会社のポプルス　コミケ支店,16,7,1,1
333,創芸社クリア文庫,17,7,1,1
334,plusone,18,7,1,1
335,バンダイファッションネット,19,7,1,1
336,オーバーラップ,19,8,1,1
337,講談社ラノベ文庫,18,8,1,1
338,未来形コミック　月刊ヒーローズ,17,8,1,1
339,ワーナー,15,8,2,1
341,「劇場版 蒼き鋼のアルペジオ -アルスノヴァ-  DC」,21,7,1,1
342,少年画報社,22,7,1,1
343,ラジオ大阪Vステショップ,23,7,1,1
344,小学館,22,8,2,1
345,アニたまSHOP/ラジオ関西,21,8,1,1
351,ピーエーワークス,25,7,1,1
352,シーサイド・コミュニケーションズ,26,7,1,1
353,PHONON,27,7,1,1
354,弱虫ペダル／秋田書店,27,8,1,1
355,TBSアニメーション,25,8,2,1
411,グリフォンエンタープライズ,8,25,1,1
412,ミニッチュ＆フィギュアメーカーGift,8,26,1,2
421,ニトロプラス/ニトロプラス キラル,0,35,3,1
422,みなとそふと,3,35,3,1
423,TYPE-MOON,6,35,3,1
431,Leaf/アクアプラス,0,32,1,2
432,ネクストン＠BaseSon,0,31,1,1
441,インターネットラジオステーション<音泉>,0,14,1,3
451,Studio五組,0,10,1,2
452,ご注文はうさぎですか？,0,8,1,2
511,らしんばん,2,33,1,1
512,メロンブックス,2,31,1,2
513,sprite/fairys,3,31,1,1
514,Navel,3,32,1,1
515,カーニバル,3,33,1,1
521,GEE!STORE,2,27,1,2
522,二次元コスパ,2,25,1,2
523,対魔忍アサギ決戦アリーナ,3,25,1,1
524,PenguinParade & PRODUCTION PENCIL,3,26,1,1
525,Clochette&まどそふと,3,27,1,2
531,フロントウィング,2,21,1,2
532,あかべぇそふとつぅ＆かるたッス,2,19,1,2
533,Views/CranCrown,3,19,1,2
534,ねこねこソフト/コットンソフト,3,21,1,1
535,ういんどみる,3,22,1,1
541,pixiv,2,16,1,1
542,アニメ「レーカン！」徳間J,2,15,1,1
543,山田くんと7人の魔女,2,14,1,1
544,モモキュンソード,3,14,1,1
545,Tokyo 7th シスターズ,3,15,1,1
546,VOCADOL/スタジオディーン,3,16,1,1
551,ブロッコリー,2,8,1,4
552,オーガスト/ARIA,3,8,1,4
561,KADOKAWA,0,0,3,2
611,PoRO/魔人/Grand Cru,5,33,1,1
612,Qoobrand×ユニゾンシフト/アミューズクラフト,5,32,1,1
613,GIGA STATION,5,31,1,1
614,グッドスマイルカンパニー,6,31,1,1
615,ウルトラスーパーピクチャーズ,6,32,1,1
616,softhouse-seal GRANDEE,6,33,1,1
621,E☆2,5,28,1,1
622,ライアーソフト,5,27,1,1
623,でぼの巣製作所,5,26,1,1
624,FAVORITE,5,25,1,1
625,アクシア/東方混沌符,6,25,1,1
626,筆柿そふと＋egトップス,6,26,1,1
627,WHITESOFT,6,27,1,1
628,アールエスケイ × ゲファルサ,6,28,1,1
631,ハイクオソフト・ピースソフト,5,22,1,1
632,Will Group,5,21,1,1
633,Ricotta,5,20,1,1
634,サーカス,5,19,1,1
635,快盗天使ツインエンジェル,6,19,1,2
636,DAXEL,6,21,1,2
641,カーテン魂,5,16,1,1
642,エムズファクトリー,5,15,1,1
643,工画堂スタジオ,5,14,1,1
644,5pb.,6,14,1,1
645,unity-chan!,6,15,1,2
911,ラブ・ラボ,8,13,1,1
912,まろに☆え～る,8,14,1,1
913,ojaga design,8,15,1,1
914,明聖サイバー学習国,8,16,1,1
921,アニメスタイル,8,19,1,1
922,株式会社ダイシン,8,20,1,1
923,アンクロン,8,21,1,1
924,ラディカル,8,22,1,1
925,ソフトガレージ,8,23,1,1
