kigyo_no,map_pos_x,map_pos_y
111,570,30
121,750,30
131,930,30
132,1002,30
141,1074,84
151,750,228
161,498,228
162,462,228
163,426,228
211,210,84
212,318,84
213,318,102
214,282,102
215,210,102
221,390,84
222,462,84
223,426,102
224,390,102
231,570,84
232,678,84
233,678,102
234,642,102
235,606,102
236,570,102
251,930,84
252,966,84
253,1002,84
254,1002,102
255,966,102
256,930,102
311,210,156
312,282,156
313,318,156
314,318,174
315,282,174
316,210,174
321,390,156
322,426,156
323,462,156
324,498,174
325,462,174
326,426,174
327,390,174
331,570,156
332,642,156
333,678,174
334,642,174
335,570,174
341,786,156
351,930,156
352,966,156
353,1002,156
354,966,174
355,930,174
411,318,480
412,318,498
421,282,660
422,246,660
423,138,660
424,30,660
431,30,606
441,30,300
442,30,282
451,30,174
511,102,624
512,102,588
513,138,588
514,138,624
521,102,516
522,102,480
523,138,480
524,138,498
525,138,516
526,138,534
531,102,426
532,102,408
533,102,372
534,138,372
535,138,390
536,138,408
537,138,426
541,102,300
542,102,282
543,138,282
544,138,300
551,102,174
552,138,174
553,138,228
561,30,30
611,210,606
612,210,588
613,246,606
621,210,516
622,210,498
623,210,480
624,246,480
625,246,498
626,246,516
627,246,534
631,210,426
632,210,408
633,210,390
634,210,372
635,246,372
636,246,390
637,246,408
638,246,426
641,210,318
642,210,300
643,210,282
644,246,282
645,246,300
646,246,318
911,1038,228
912,1002,228
913,966,228
914,930,228
915,894,228
921,318,264
922,318,282
923,318,300
924,318,318
931,318,372
932,318,390
933,318,408
934,318,426
935,318,444
